Frame,Time_s,Centroid_X_px,Centroid_Y_px,Vector_X_um,Vector_Y_um,Magnitude_um,Angle_Global_Deg,Angle_vs_Movement_Deg,Rg_Magenta_um
0,0.0,11.816176470588236,15.601649443561207,0.10061585960350992,-0.020273366476648996,0.10263800754130867,-11.39214766885098,-7.3698329922114,1.2520433302302523
1,5.0,23.713969742546226,14.765018136777847,0.1642786906922342,-0.024664544294616206,0.16611992042141074,-8.538522237059619,16.804270785989473,1.2964670241266292
2,10.0,30.784245420833802,11.416451286661424,-0.10772089599959202,0.018052517140897385,0.10922309650471054,170.48643355929383,173.76729510715091,1.1720403306771003
3,15.0,42.769100169779286,10.72942543115003,-0.09828081813460848,-0.0541356425117225,0.11220422007823504,-151.1528783213643,178.24158365245717,1.3788630547638256
4,20.0,49.3773143636718,14.638374585850713,0.2406725890753177,-0.23623027231976756,0.3372358769355483,-44.46630926174773,-49.15495579066416,1.2259669328833194
5,25.0,58.759732008779025,15.407878017789074,0.3590555574942576,-0.1479057462439934,0.3883258981055792,-22.3882309676996,-7.9569374968644695,1.143527859735474
6,30.0,67.53917050691244,13.148589412161403,0.2412780825979216,-0.05244844381328886,0.24691284373350283,-12.264022435217559,-24.670523645028794,1.1762840107686927
7,35.0,74.68775111927448,14.721157157616807,0.2844116435670553,0.13157758517760818,0.31337301083163566,24.826714555200386,-28.52078522406623,1.1535187398418443
8,40.0,78.80635210784874,20.256254998286302,0.21252247139820465,0.0738468126381239,0.22498700537144556,19.161197651940295,63.198364413258275,1.150407785697614
9,45.0,83.25133637865682,15.958207794732239,-0.004568098250649655,-0.1630618957905746,0.16312586974616808,-91.60469317949875,-73.27416277499063,1.2403588588204923
10,50.0,88.88070666433444,14.093143256952947,0.15154290129806625,0.19355204035016496,0.2458203475254791,51.94058765941246,35.04146999890881,1.3345244577789384
11,55.0,104.02353896103897,18.693632756132757,0.20020491266017795,0.007313631348386984,0.20033845426370245,2.0921262644697367,,1.3213427482974303
