Frame,Time_s,Centroid_X_px,Centroid_Y_px,Vector_X_um,Vector_Y_um,Magnitude_um,Angle_Global_Deg,Angle_vs_Movement_Deg,Rg_Magenta_um
0,0.0,6.827298050139276,8.684385639121015,-0.00980008678489952,0.22141638243834433,0.22163315661938923,92.53430829732108,51.67173761491304,1.3960031699791764
1,5.0,13.201854224768223,14.198914600135675,-0.2227711062979546,0.014677386844809704,0.2232540962352243,176.23048669093956,-179.63074692711558,1.438337413178686
2,10.0,24.023485908454926,13.415850489706177,0.12493511550316833,-0.2228830577678917,0.2555105487563192,-60.72757752680192,-85.35280644772108,1.2637779616704077
3,15.0,35.77684964200478,18.803221957040574,0.268365405182631,0.04492619146463234,0.2720998959543251,9.503577176767168,7.375289838868184,1.1133419421564648
4,20.0,46.5791080680977,19.204663212435232,0.3242332389209183,-0.0293077525122915,0.3255551221812844,-5.164983940727999,-52.88570145612263,1.3465187923426056
5,25.0,50.47549448625941,23.48984771573604,0.635188201684513,0.4290727066681453,0.7665294770370763,34.039216797105425,-18.128363528840737,1.3663029906179465
6,30.0,54.71111576303119,28.944002512036842,0.20874617204253754,-0.1351337292161748,0.24866863315320478,-32.91736745177314,-60.36862843352934,1.2140426154424298
7,35.0,60.733092876465285,32.07233744113816,-0.03419163487549454,0.008561269488952163,0.03524717337208188,165.94268649166347,169.74544287407275,1.2379659247170833
8,40.0,71.62251946058547,31.348536344699045,-0.06718908710447558,0.06562242952881409,0.0939184576278645,135.67583524540643,161.14835529970264,1.1701985871400733
9,45.0,78.1751817924261,28.226933610350365,0.0816000349035225,0.04521697809286398,0.09329062548888087,28.99212530931801,22.54121314292925,1.2806641770925729
10,50.0,88.8650567085873,29.435614535915438,-0.17321800776840263,0.4017859695397158,0.4375345055355336,113.32184521385962,91.25669393895458,1.4619967805575818
11,55.0,94.4289525776745,31.69093725793958,-0.01491837945979821,-0.24994635575756685,0.25039117157398877,-93.41572225015491,-100.54979522160231,1.3948781665263275
12,60.0,102.91776827371694,32.75340202177294,-0.09272073194684596,-0.07642442581197742,0.12015750910138451,-140.50318167531628,179.27928118181381,1.227254985448081
13,65.0,105.9805676066522,35.343275488069416,-0.008317338351938765,0.21216685586736436,0.2123298209058341,92.24495239594854,76.5671521790785,1.284084593070349
14,70.0,111.4593147751606,36.88099159940702,0.10471929909726238,0.23966848215511888,0.2615475347655956,66.39784927000615,55.58234177751399,1.5605951737513035
15,75.0,112.54095466741985,37.08762886597938,0.21023953335591247,0.45902441991302506,0.5048802625001308,65.39156518586762,72.49843937884083,1.4756682242909565
16,80.0,118.322994427505,36.36673325622963,-0.06160122312118009,-0.12038060287517997,0.13522647757971512,-117.09975723239207,-111.9026673704125,1.2579180358716462
17,85.0,123.17395925597874,35.92550930026572,-0.14016774862406312,-0.06374889813619782,0.1539835048565848,-155.54375404693172,-154.23904990434178,1.3362470284170034
18,90.0,128.22916012969355,35.81037548373601,0.04682423355360193,-0.1320642148398529,0.1401194693436607,-70.47770454417754,-71.23767363864421,1.1990483016106162
19,95.0,132.50575573233505,35.867103416003744,0.31913614812602875,0.10565891628992287,0.3361721101344957,18.318564576657714,19.062599794217107,1.294519320754299
20,100.0,140.0229232864276,35.76948101074293,0.2972580002459831,-0.04907249984538268,0.30128131198485575,-9.374062841309334,15.610071391021819,1.425370798644261
21,105.0,145.42883706515843,33.25048423336174,0.47163474566215075,0.12936402983184692,0.4890545833852665,15.338349428946287,-28.21713337304294,1.4487078264444637
22,110.0,148.61322330287848,36.27821986442676,0.36211965100255217,0.18120033597822768,0.40492493551377245,26.582834045665724,,1.2698661451969486
