LABEL,TRACK_INDEX,TRACK_ID,NUMBER_SPOTS,NUMBER_GAPS,NUMBER_SPLITS,NUMBER_MERGES,NUMBER_COMPLEX,LONGEST_GAP,TRACK_DURATION,TRACK_START,TRACK_STOP,TRACK_DISPLACEMENT,TRACK_X_LOCATION,TRACK_Y_LOCATION,TRACK_Z_LOCATION,TRACK_MEAN_SPEED,TRACK_MAX_SPEED,TRACK_MIN_SPEED,TRACK_MEDIAN_SPEED,TRACK_STD_SPEED,TRACK_MEAN_QUALITY,TOTAL_DISTANCE_TRAVELED,MAX_DISTANCE_TRAVELED,CONFINEMENT_RATIO,MEAN_STRAIGHT_LINE_SPEED,LINEARITY_OF_FORWARD_PROGRESSION,MEAN_DIRECTIONAL_CHANGE_RATE
Track_10120,2245,2245,5,0,0,0,0,0,20,145,165,4.20734058,162.2306678,65.4230799,0,0.381972737,0.590737326,0.150378085,0.482544326,0.194402612,26.06979656,7.639454743,4.739759177,0.550738334,0.210367029,0.550738334,0.40979007
Track_10122,2247,2247,8,0,0,0,0,0,35,155,190,6.48728096,161.5082559,66.28042595,0,0.401542718,0.871848727,0.124756846,0.31692073,0.237471145,37.60219812,14.05399514,6.48728096,0.461596926,0.185350885,0.461596926,0.379421393
Track_10124,2249,2249,31,0,0,0,0,0,150,145,295,12.01561915,326.5782552,63.15904432,0,0.406868682,1.155511364,0.04178528,0.324154497,0.299798817,34.05053708,61.03030233,17.68433094,0.196879561,0.080104128,0.196879561,0.336603662
Track_10129,2254,2254,18,0,0,0,0,0,85,155,240,4.975019003,315.0181527,73.54941801,0,0.46749184,0.811214827,0.052293483,0.49878699,0.21660402,42.38512678,39.73680641,5.347353719,0.125199266,0.058529635,0.125199266,0.314474529
Track_10130,2255,2255,5,0,0,0,0,0,20,160,180,9.679116448,131.3145783,72.33054531,0,0.576218766,0.784392855,0.376811062,0.715719527,0.203751067,14.7488533,11.52437532,9.679116448,0.839882092,0.483955822,0.839882092,0.191909404
Track_10131,2256,2256,7,0,0,0,0,0,30,155,185,2.583555329,325.7088958,77.48599692,0,0.524939007,0.92265862,0.116526377,0.498950531,0.27702677,45.40895789,15.74817022,4.600607688,0.164054318,0.086118511,0.164054318,0.285175444
Track_10135,2260,2260,7,0,0,0,0,0,30,150,180,4.840901213,424.558341,81.48770629,0,0.427620163,0.652508733,0.202509635,0.442321201,0.152813661,14.54313183,12.8286049,6.677369552,0.377352117,0.161363374,0.377352117,0.28483212
Track_10136,2261,2261,8,0,0,0,0,0,35,150,185,4.178200202,433.4679048,84.477812,0,0.404194717,0.634747031,0.246565335,0.333264085,0.157008324,39.18029976,14.1468151,4.908022566,0.295345643,0.119377149,0.295345643,0.316591292
Track_10137,2262,2262,13,0,0,0,0,0,60,150,210,14.41314797,42.81170512,77.80059542,0,0.541774582,1.159914062,0.202884861,0.493314135,0.263468783,19.66327814,32.50647493,15.83809559,0.443393139,0.240219133,0.443393139,0.276843069
Track_10139,2264,2264,5,0,0,0,0,0,20,150,170,3.620395094,136.6554363,82.32624468,0,0.635227336,0.957435266,0.394749047,0.664213338,0.241347536,13.97405891,12.70454672,5.069642784,0.284968458,0.181019755,0.284968458,0.512522107
Track_10140,2265,2265,10,0,0,0,0,0,45,160,205,2.54910348,19.69996405,84.00430537,0,0.380271118,0.887157219,0.027734567,0.350939103,0.298168236,33.50243921,17.11220033,6.304410742,0.148964098,0.056646744,0.148964098,0.375754851
Track_10141,2266,2266,19,0,0,0,0,0,90,160,250,14.93748811,239.2088561,96.76920221,0,0.593892643,1.170442748,0.049067415,0.587643442,0.311978644,19.23982191,53.45033791,16.46152553,0.279464802,0.16597209,0.279464802,0.299476783
Track_10142,2267,2267,11,0,0,0,0,0,50,160,210,2.779984262,180.1262657,89.6014922,0,0.618923938,1.101754155,0.321894375,0.49774584,0.254024921,29.27699635,30.94619692,7.22366007,0.089832824,0.055599685,0.089832824,0.321200513
Track_10143,2268,2268,14,0,0,0,0,0,65,150,215,9.63399654,259.5833414,87.7237108,0,0.459679648,0.937339411,0.048500984,0.427739112,0.29201342,44.34352091,29.87917715,10.208738,0.322431789,0.148215331,0.322431789,0.354301655
Track_10144,2269,2269,11,0,0,0,0,0,50,145,195,9.146129203,260.4176592,89.04473086,0,0.430596043,1.030233758,0.158538347,0.395467826,0.260619031,19.87797659,21.52980213,9.920202533,0.424812506,0.182922584,0.424812506,0.203712654
Track_10145,2270,2270,35,0,0,0,0,0,170,160,330,16.37577378,297.4995187,84.64139875,0,0.379366672,0.964796381,0.031817984,0.368723124,0.262875934,39.47682187,64.49233429,17.21227502,0.253918143,0.096328081,0.253918143,0.308331514
Track_10146,2271,2271,6,0,0,0,0,0,25,145,170,14.09088397,301.1857854,92.17640781,0,0.760092098,1.127937771,0.472851889,0.564673225,0.318670831,17.84231448,19.00230245,14.09088397,0.741535612,0.563635359,0.741535612,0.222280536
Track_10147,2272,2272,7,0,0,0,0,0,30,160,190,3.992251229,136.2474546,88.79635265,0,0.297901788,0.432885492,0.154826569,0.360675488,0.10981429,18.58816992,8.93705365,5.692542184,0.446707761,0.133075041,0.446707761,0.162109331
Track_10150,2275,2275,12,0,0,0,0,0,55,160,215,4.48712447,175.4843835,98.68011955,0,0.394426967,0.549466857,0.222452279,0.418115242,0.114434925,60.70117331,21.6934832,6.876624058,0.206842047,0.081584081,0.206842047,0.305500335
Track_10152,2277,2277,11,0,0,0,0,0,50,145,195,9.726752313,437.0861469,99.98239474,0,0.437198512,0.917373255,0.067054529,0.669459715,0.338625011,25.85379735,21.85992562,10.66032994,0.444958161,0.194535046,0.444958161,0.38506203
Track_10153,2278,2278,5,0,0,0,0,0,20,160,180,11.89184017,303.9686025,109.1967346,0,0.624973643,0.898995788,0.31231479,0.718638942,0.248089385,22.35541878,12.49947286,11.89184017,0.951387335,0.594592008,0.951387335,0.06493685
Track_10154,2279,2279,13,0,0,0,0,0,60,160,220,10.00958977,321.2116109,102.9428762,0,0.54620103,0.876172621,0.302732199,0.510914976,0.214249528,25.7167467,32.7720618,11.39023273,0.305430578,0.166826496,0.305430578,0.381620909
Track_10155,2280,2280,10,0,0,0,0,0,45,160,205,13.64975722,318.1126862,116.0689763,0,0.583144558,1.064802989,0.343551578,0.510305203,0.232605725,29.8480011,26.24150511,13.64975722,0.520159083,0.303327938,0.520159083,0.370165308
