LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
ID112153,112153,7081,33.68001556,305.3451028,25.64307942,0,113,113,1.25,1,,67.37837838,45,5,255,2493,77.39378074,0.653106897,0.687903976
ID123032,123032,7081,42.82997513,312.4697201,30.09127922,0,128,128,1.25,1,,77.18918919,33,5,255,2856,88.27728972,0.711541396,0.727026511
ID117598,117598,7081,20.00788689,306.5012056,25.31017063,0,120,120,1.25,1,,48.16216216,33,5,191,1782,47.96382521,0.599109279,0.75240221
ID116256,116256,7083,13.16983414,293.3581991,25.71545286,0,115,115,1.25,1,,29.62162162,8,5,174,1096,43.4679648,0.555570158,0.48676442
ID114883,114883,7083,10.08782291,295.334076,25.83545344,0,116,116,1.25,1,,30.56756757,5,5,255,1131,56.57862795,0.607136513,0.408199106
ID114196,114196,7083,49.42881012,295.9924109,28.04146079,0,117,117,1.25,1,,85.37837838,50,5,255,3159,89.96893024,0.574484974,0.692509116
ID112856,112856,7083,13.0282774,288.6971062,27.69788088,0,112,112,1.25,1,,35.59459459,17,5,231,1317,51.98314869,0.61344881,0.520684443
ID112155,112155,7083,11.69744396,293.0762159,26.37125804,0,113,113,1.25,1,,31.24324324,10,5,255,1156,50.0263294,0.618250162,0.477206166
ID109963,109963,7083,13.8714447,292.4064671,27.95151032,0,111,111,1.25,1,,37.40540541,15,5,207,1384,48.80884452,0.475239463,0.493759893
ID115579,115579,7083,45.72877502,294.8974619,28.34709892,0,118,118,1.25,1,,102.1351351,85,3,255,3779,80.0417121,0.492375986,0.841990915
ID113530,113530,7083,7.497668266,293.7112728,26.69605573,0,114,114,1.25,1,,21.40540541,6,5,94,792,21.3560549,0.441358857,0.613835709
ID116261,116261,7084,34.59812546,278.4379002,27.37879427,0,115,115,1.25,1,,78.83783784,57,5,255,2917,76.44006858,0.657242506,0.818056334
ID112840,112840,7084,31.5476532,284.1393352,23.53310318,0,112,112,1.25,1,,82.7027027,62,5,255,3060,76.1773752,0.428772154,0.651609323
ID112157,112157,7084,45.46435165,282.2910297,26.68246075,0,113,113,1.25,1,,74.24324324,33,5,255,2747,91.46383785,0.766669942,0.704515459
ID113533,113533,7084,25.85618591,282.0330623,27.07989028,0,114,114,1.25,1,,61.40540541,52,3,208,2272,53.1864955,0.626875914,0.889738488
