Frame,Time_s,Centroid_X_px,Centroid_Y_px,Vector_X_um,Vector_Y_um,Magnitude_um,Angle_Global_Deg,Angle_vs_Movement_Deg,Rg_Magenta_um
0,0.0,9.67600763176723,23.749821130455523,0.0038582108777352885,-0.21461624219996436,0.21465091941850808,-88.97009011050946,-90.8517872559089,1.2594792842487974
1,5.0,18.21831620695872,24.030466919055346,-0.052069886378383785,-0.10783712368036755,0.119750233031559,-115.77388859942283,-72.06411826813641,0.9489370505079248
2,10.0,24.522693198855116,18.00381627368134,0.42669741429082914,-0.11744778522285118,0.4425660014237791,-15.389482619040006,-97.42098412223189,1.0582370698183081
3,15.0,25.075663877773735,21.954165150963988,-0.2784937083566254,-0.0712398760369712,0.2874610678543934,-165.6511894233416,-159.90811486272486,1.1271075452250272
4,20.0,31.082450730660945,21.350046923180052,-0.10591113231323435,-0.07201076859561517,0.12807309921135923,-145.78755385160252,-166.51968258955665,1.0712695498589027
5,25.0,38.13171036204744,24.01825842696629,-0.19007197701614675,0.10953846089871011,0.21937645922679322,150.04515692163542,174.85570061612475,1.0103175266855546
6,30.0,47.801382778126964,19.548082966687616,0.27709407282567144,-0.12915074718516237,0.30571398511288983,-24.989750667948865,-24.692392535012516,1.0116944567598762
7,35.0,55.8661907654921,19.506227217496964,-0.10280665349163902,-0.10298326003723442,0.14551549694120752,-134.95082943065887,-148.34993173270834,1.0084707945773568
8,40.0,62.34644277507733,21.049933716305787,0.22889168583122926,0.2556274892378334,0.3431279893810774,48.15838229956993,60.1411805309869,1.024983528289428
9,45.0,66.62175374274366,20.142529789184234,0.23757855616978557,0.39633966677788124,0.4620916595366355,59.060191955610485,41.30555341303898,1.0287695739343863
10,50.0,70.34230412302797,21.33381943523797,-0.09458824140987894,-0.14512242683768453,0.1732265977968529,-123.09560038557916,-148.82902570892432,1.0784374733787159
11,55.0,75.6615876136643,23.897640697960185,0.38207358585414825,0.1720732109170918,0.41903390665048235,24.245214020214583,,1.3054454553740487
